UID        PID  PPID  C STIME TTY          TIME CMD
root         1     0  0 Oct23 ?        00:00:07 /sbin/init maybe-ubiquity
root         2     0  0 Oct23 ?        00:00:00 [kthreadd]
root         4     2  0 Oct23 ?        00:00:00 [kworker/0:0H]
root         6     2  0 Oct23 ?        00:00:00 [mm_percpu_wq]
root         7     2  0 Oct23 ?        00:00:03 [ksoftirqd/0]
root         8     2  0 Oct23 ?        00:00:01 [rcu_sched]
root         9     2  0 Oct23 ?        00:00:00 [rcu_bh]
root        10     2  0 Oct23 ?        00:00:00 [migration/0]
root        11     2  0 Oct23 ?        00:00:00 [watchdog/0]
root        12     2  0 Oct23 ?        00:00:00 [cpuhp/0]
root        13     2  0 Oct23 ?        00:00:00 [kdevtmpfs]
root        14     2  0 Oct23 ?        00:00:00 [netns]
root        15     2  0 Oct23 ?        00:00:00 [rcu_tasks_kthre]
root        16     2  0 Oct23 ?        00:00:00 [kauditd]
root        17     2  0 Oct23 ?        00:00:00 [khungtaskd]
root        18     2  0 Oct23 ?        00:00:00 [oom_reaper]
root        19     2  0 Oct23 ?        00:00:00 [writeback]
root        20     2  0 Oct23 ?        00:00:00 [kcompactd0]
root        21     2  0 Oct23 ?        00:00:00 [ksmd]
root        22     2  0 Oct23 ?        00:00:00 [khugepaged]
root        23     2  0 Oct23 ?        00:00:00 [crypto]
root        24     2  0 Oct23 ?        00:00:00 [kintegrityd]
root        25     2  0 Oct23 ?        00:00:00 [kblockd]
root        26     2  0 Oct23 ?        00:00:00 [ata_sff]
root        27     2  0 Oct23 ?        00:00:00 [md]
root        28     2  0 Oct23 ?        00:00:00 [edac-poller]
root        29     2  0 Oct23 ?        00:00:00 [devfreq_wq]
root        30     2  0 Oct23 ?        00:00:00 [watchdogd]
root        32     2  0 Oct23 ?        00:00:41 [kworker/0:1]
root        34     2  0 Oct23 ?        00:00:00 [kswapd0]
root        35     2  0 Oct23 ?        00:00:00 [kworker/u3:0]
root        36     2  0 Oct23 ?        00:00:00 [ecryptfs-kthrea]
root        78     2  0 Oct23 ?        00:00:00 [kthrotld]
root        79     2  0 Oct23 ?        00:00:00 [acpi_thermal_pm]
root        80     2  0 Oct23 ?        00:00:00 [scsi_eh_0]
root        81     2  0 Oct23 ?        00:00:00 [scsi_tmf_0]
root        82     2  0 Oct23 ?        00:00:00 [scsi_eh_1]
root        83     2  0 Oct23 ?        00:00:00 [scsi_tmf_1]
root        89     2  0 Oct23 ?        00:00:00 [ipv6_addrconf]
root        98     2  0 Oct23 ?        00:00:00 [kstrp]
root       116     2  0 Oct23 ?        00:00:00 [charger_manager]
root       165     2  0 Oct23 ?        00:00:01 [kworker/0:1H]
root       171     2  0 Oct23 ?        00:00:00 [scsi_eh_2]
root       172     2  0 Oct23 ?        00:00:00 [scsi_tmf_2]
root       241     2  0 Oct23 ?        00:00:00 [raid5wq]
root       293     2  0 Oct23 ?        00:00:01 [jbd2/sda2-8]
root       294     2  0 Oct23 ?        00:00:00 [ext4-rsv-conver]
root       355     1  0 Oct23 ?        00:00:02 /lib/systemd/systemd-journald
root       369     2  0 Oct23 ?        00:00:00 [iscsi_eh]
root       370     1  0 Oct23 ?        00:00:00 /sbin/lvmetad -f
root       383     2  0 Oct23 ?        00:00:00 [ib-comp-wq]
root       384     2  0 Oct23 ?        00:00:00 [ib_mcast]
root       385     2  0 Oct23 ?        00:00:00 [ib_nl_sa_wq]
root       386     1  0 Oct23 ?        00:00:01 /lib/systemd/systemd-udevd
root       387     2  0 Oct23 ?        00:00:00 [rdma_cm]
root       416     2  0 Oct23 ?        00:00:00 [loop0]
root       417     2  0 Oct23 ?        00:00:00 [loop1]
systemd+   418     1  0 Oct23 ?        00:00:00 /lib/systemd/systemd-timesyncd
